SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-23-2021,Single Family Residential,2019 Laurelei Ave,SAN JOSE,CA,95128,1470000,4,2.0,SAN JOSE,1508,6008,1951,16,975,,Sold,,,https://www.redfin.com/CA/San-Jose/2019-Laurelei-Ave-95128/home/915383,MLSListings,ML81867723,N,Y,37.3330803,-121.9356895
PAST SALE,,Single Family Residential,2391 Kenwood Ave,San Jose,CA,95128,1500000,3,1.0,,1831,8325,1950,,819,,,,,https://www.redfin.com/CA/San-Jose/2391-Kenwood-Ave-95128/home/1399924,,,N,Y,37.332876,-121.9465556
PAST SALE,July-15-2020,Single Family Residential,445 Irving Ave,SAN JOSE,CA,95128,780000,2,1.0,SAN JOSE,836,3921,1942,512,933,,Sold,,,https://www.redfin.com/CA/San-Jose/445-Irving-Ave-95128/home/710766,MLSListings,ML81791811,N,Y,37.3207615,-121.9279114
PAST SALE,,Single Family Residential,632 College Dr,San Jose,CA,95128,1000000,3,1.0,,1120,6117,1954,,893,,,,,https://www.redfin.com/CA/San-Jose/632-College-Dr-95128/home/1544437,,,N,Y,37.3155872,-121.9191105
PAST SALE,November-19-2021,Single Family Residential,345 Irving Ave,SAN JOSE,CA,95128,1330000,3,3.0,SAN JOSE,1673,4071,1920,20,795,,Sold,,,https://www.redfin.com/CA/San-Jose/345-Irving-Ave-95128/home/719205,MLSListings,ML81866077,N,Y,37.3225413,-121.927867
PAST SALE,November-19-2021,Single Family Residential,1466 Via Codorniz,SAN JOSE,CA,95128,1620000,3,2.0,SAN JOSE,1497,6255,1976,20,1082,,Sold,,,https://www.redfin.com/CA/San-Jose/1466-Via-Codorniz-95128/home/1248857,MLSListings,ML81867107,N,Y,37.2967788,-121.9381116
PAST SALE,April-16-2021,Single Family Residential,840 Corlista Dr,SAN JOSE,CA,95128,1330000,3,2.5,SAN JOSE,1524,5840,1955,237,873,,Sold,,,https://www.redfin.com/CA/San-Jose/840-Corlista-Dr-95128/home/1399776,MLSListings,ML81829161,N,Y,37.3119061,-121.9182881
PAST SALE,July-7-2017,Single Family Residential,2101 Peachtree Ln,SAN JOSE,CA,95128,930000,2,2.0,SAN JOSE,1252,5500,1949,1616,743,,Sold,,,https://www.redfin.com/CA/San-Jose/2101-Peachtree-Ln-95128/home/719291,MLSListings,ML81653749,N,Y,37.3351478,-121.9383116
PAST SALE,August-9-2019,Single Family Residential,791 Bellerose Dr,SAN JOSE,CA,95128,1270000,3,2.0,SAN JOSE,1692,9497,1954,853,751,,Sold,,,https://www.redfin.com/CA/San-Jose/791-Bellerose-Dr-95128/home/1353478,MLSListings,ML81752394,N,Y,37.3300551,-121.9373783
PAST SALE,November-19-2019,Single Family Residential,2844 Hemlock Ave,SAN JOSE,CA,95128,1488000,4,2.5,SAN JOSE,2122,2703,1997,751,701,136,Sold,,,https://www.redfin.com/CA/San-Jose/2844-Hemlock-Ave-95128/home/1492258,MLSListings,ML81764324,N,Y,37.3210542,-121.9444446
PAST SALE,October-22-2021,Single Family Residential,530 Macarthur Ave,SAN JOSE,CA,95128,1100000,3,1.0,SAN JOSE,1144,6213,1947,48,962,,Sold,,,https://www.redfin.com/CA/San-Jose/530-MacArthur-Ave-95128/home/721864,MLSListings,ML81849484,N,Y,37.3189995,-121.9353993
PAST SALE,September-4-2020,Single Family Residential,791 College Dr,SAN JOSE,CA,95128,1290000,3,2.0,SAN JOSE,1651,6188,1955,461,781,,Sold,,,https://www.redfin.com/CA/San-Jose/791-College-Dr-95128/home/823861,MLSListings,ML81802862,N,Y,37.3126296,-121.9198217
PAST SALE,March-26-2021,Townhouse,2964 Moorpark Ave,SAN JOSE,CA,95128,869964,2,2.5,SAN JOSE,1259,949,1981,258,691,425,Sold,,,https://www.redfin.com/CA/San-Jose/2964-Moorpark-Ave-95128/unit-14/home/723886,MLSListings,ML81828360,N,Y,37.3157705,-121.9469092
PAST SALE,September-24-2021,Single Family Residential,365 Leland Ave,SAN JOSE,CA,95128,1100000,3,2.0,SAN JOSE,1092,4098,1985,76,1007,,Sold,,,https://www.redfin.com/CA/San-Jose/365-Leland-Ave-95128/home/609806,MLSListings,ML81858580,N,Y,37.3221319,-121.926978
PAST SALE,February-23-2021,Single Family Residential,476 Arleta Ave,SAN JOSE,CA,95128,914760,3,2.0,SAN JOSE,1196,4000,1925,289,765,,Sold,,,https://www.redfin.com/CA/San-Jose/476-Arleta-Ave-95128/home/1104689,MLSListings,ML81825897,N,Y,37.32035,-121.9291559
PAST SALE,March-26-2019,Single Family Residential,175 Boston Ave,SAN JOSE,CA,95128,975000,4,2.0,SAN JOSE,1497,5707,1964,989,651,,Sold,,,https://www.redfin.com/CA/San-Jose/175-Boston-Ave-95128/home/1279759,MLSListings,ML81737511,N,Y,37.32656,-121.928133
PAST SALE,November-12-2020,Single Family Residential,157 Wabash Ave,SAN JOSE,CA,95128,1450000,4,3.0,SAN JOSE,2208,5709,2000,392,657,,Sold,,,https://www.redfin.com/CA/San-Jose/157-Wabash-Ave-95128/home/823545,MLSListings,ML81816190,N,Y,37.3262016,-121.9270669
PAST SALE,August-21-2019,Single Family Residential,117 Boston Ave,SAN JOSE,CA,95128,788500,3,2.0,SAN JOSE,1156,5562,1941,841,682,,Sold,,,https://www.redfin.com/CA/San-Jose/117-Boston-Ave-95128/home/715998,MLSListings,ML81759275,N,Y,37.3257066,-121.9280892
PAST SALE,September-8-2020,Single Family Residential,2055 Emory St,SAN JOSE,CA,95128,1830000,3,2.5,SAN JOSE,2133,7131,1955,457,858,,Sold,,,https://www.redfin.com/CA/San-Jose/2055-Emory-St-95128/home/719906,MLSListings,ML81804546,N,Y,37.329409,-121.9350895
PAST SALE,April-19-2019,Single Family Residential,2064 Emory St,SAN JOSE,CA,95128,1718000,3,2.0,SAN JOSE,2092,7000,1955,965,821,,Sold,,,https://www.redfin.com/CA/San-Jose/2064-Emory-St-95128/home/1661416,MLSListings,ML81742286,N,Y,37.3289494,-121.9355561
PAST SALE,July-7-2020,Single Family Residential,1101 Almarida Dr,SAN JOSE,CA,95128,1440000,5,3.0,SAN JOSE,2102,7000,1962,520,685,,Sold,,,https://www.redfin.com/CA/San-Jose/1101-Almarida-Dr-95128/home/1095710,MLSListings,ML81794643,N,Y,37.3031037,-121.9416448
PAST SALE,November-14-2019,Single Family Residential,480 Halsey Ave,SAN JOSE,CA,95128,875000,2,1.0,SAN JOSE,1031,5666,1947,756,849,,Sold,,,https://www.redfin.com/CA/San-Jose/480-Halsey-Ave-95128/home/720224,MLSListings,ML81764871,N,Y,37.320342,-121.9363117
PAST SALE,June-11-2018,Single Family Residential,224 Bellerose Dr,SAN JOSE,CA,95128,1409800,3,3.0,SAN JOSE,1705,10144,1947,1277,827,,Sold,,,https://www.redfin.com/CA/San-Jose/224-Bellerose-Dr-95128/home/1335263,MLSListings,ML81700809,N,Y,37.3244871,-121.9357117
PAST SALE,November-8-2017,Single Family Residential,485 MacArthur Ave,SAN JOSE,CA,95128,945000,2,1.0,SAN JOSE,908,5775,1945,1492,1041,,Sold,,,https://www.redfin.com/CA/San-Jose/485-MacArthur-Ave-95128/home/1563991,MLSListings,ML81681013,N,Y,37.3203495,-121.9359117
PAST SALE,August-30-2021,Single Family Residential,477 Vaughn Ave,SAN JOSE,CA,95128,1398000,4,3.0,SAN JOSE,1646,4109,1925,101,849,,Sold,,,https://www.redfin.com/CA/San-Jose/477-Vaughn-Ave-95128/home/1394687,MLSListings,ML81850737,N,Y,37.3203211,-121.9304268
PAST SALE,August-6-2018,Single Family Residential,379 Clifton Ave,SAN JOSE,CA,95128,650000,2,1.0,SAN JOSE,576,5956,1925,1221,1128,,Sold,,,https://www.redfin.com/CA/San-Jose/379-Clifton-Ave-95128/home/770832,MLSListings,ML81706810,N,Y,37.3221004,-121.9253001
PAST SALE,June-30-2020,Single Family Residential,393 Rutland Ave,SAN JOSE,CA,95128,1010116,3,2.0,SAN JOSE,1437,7900,1925,527,703,,Sold,,,https://www.redfin.com/CA/San-Jose/393-Rutland-Ave-95128/home/719464,MLSListings,ML81792906,N,Y,37.3218594,-121.9261335
PAST SALE,July-13-2020,Single Family Residential,351 Leigh Ave,SAN JOSE,CA,95128,850000,3,2.0,SAN JOSE,1150,6094,1987,514,739,,Sold,,,https://www.redfin.com/CA/San-Jose/351-Leigh-Ave-95128/home/1176318,MLSListings,ML81790417,N,Y,37.3223609,-121.9240889
